item,prior_value,prior_source_file,prior_source_section,computed_value,computed_source_artifact,signed_difference,explanation
Pbar(retry) denominator: all vs allowed,0.2077 (N=1435),ml/evaluation/m5_2_phase2_diagnostic.md (draft 1/2),Section 5/A3,0.3329 (N=567),a3_pbar.csv,0.1252,Prior used all 1435 val txns; computed uses only 567 where retry is allowed.
Pbar(payment_link) denominator: all vs allowed,0.1967 (N=1435),ml/evaluation/m5_2_phase2_diagnostic.md (draft 1/2),Section 5/A3,0.2173 (N=1261),a3_pbar.csv,0.0206,Prior used all 1435 val txns; computed uses only 1261 where payment_link is allowed.
Pbar(reminder) denominator: all vs allowed,0.1626 (N=1435),ml/evaluation/m5_2_phase2_diagnostic.md (draft 1/2),Section 5/A3,0.1794 (N=1261),a3_pbar.csv,0.0168,Prior used all 1435 val txns; computed uses only 1261 where reminder is allowed.
Pbar(discount) denominator: all vs allowed,0.2241 (N=1435),ml/evaluation/m5_2_phase2_diagnostic.md (draft 1/2),Section 5/A3,0.2197 (N=918),a3_pbar.csv,-0.0044,Prior used all 1435 val txns; computed uses only 918 where discount is allowed.
"Top-3 % of gap: two denominators, both retained",133.3% of wait->close subset gap AND 166.5% of total test deficit,ml/evaluation/_pre_phase3_snapshot/m5_2_phase2_diagnostic.PRE_PHASE3.md,Section 6 / A4 Top 3,133.3% and 166.5% (recomputed independently),a4_partition_summary.json / a5_substitution_matrix.csv,0.0,"AGREE. Rs.329,675.72 is 133.3% of the Rs.247,409.56 subset gap and 166.5% of the Rs.198,016.92 total deficit. Both identities are asserted separately by XREF-1 X4a and X4b; they are not expected to be equal."
Oracle (B6) test net per txn,2129.37 (typed in a8_carry_forward.json Phase 2),ml/evaluation/phase2_artifacts/a8_carry_forward.json (Phase 2),cross_action_ranking,2130.00 (a2_b6_test_net / test_N),a2_policy_rows.csv + a8_carry_forward.json,0.63,Phase 3 computes from a2_policy_rows: b6_net / pa_test_n.
wait->close cell delta vs Class R D4,"-247,410.00 (ml/evaluation/m5_1_diagnostic.md D4)",ml/evaluation/m5_1_diagnostic.md,D4: Substitution Matrix,"-247,409.56",a5_substitution_matrix.csv,0.44,"Computed by grouping per_transaction_decisions.csv on (pa=wait, b0=close) and summing deltas."
Active-for-active sum vs prior UNEXPLAINED,"-100,764.00 (Phase 2 A5, hand-typed)",ml/evaluation/phase2_artifacts/a5_attribution.csv (Phase 2),A5 UNEXPLAINED RESIDUAL,"49,392.64",a5_substitution_matrix.csv,150156.64,Phase 2 mislabeled active-for-active substitutions as UNEXPLAINED. Phase 3 computes directly.
Value-positive cell sum vs prior active-gains,"150,157.08 (Phase 2 A5, hand-typed)",ml/evaluation/phase2_artifacts/a5_attribution.csv (Phase 2),A5 active gains component,"150,156.49",a5_substitution_matrix.csv,-0.59,"Phase 2 typed 150,157.08 citing Frozen M5 D4. Phase 3 computes as sum of cells where delta > 0."
Concordance: Concordance pairwise,"0.6223 / 95% CI [0.6071, 0.6376] / SE=0.0078 / z=15.68",ml/evaluation/m5_2_phase2_diagnostic.md (draft 2),A7.1,NOT RECOMPUTED IN PHASE 3,N/A,,Phase 2 draft 2 computation. Not recomputed in Phase 3. Phase 4 candidate. Labeled [Class R REFERENCE].
Concordance: Value-weighted concordance,0.6468,ml/evaluation/m5_2_phase2_diagnostic.md (draft 2),A7.1,NOT RECOMPUTED IN PHASE 3,N/A,,Phase 2 draft 2 computation. Not recomputed in Phase 3. Phase 4 candidate. Labeled [Class R REFERENCE].
Concordance: Oracle agreement M4 overall,23.1%,ml/evaluation/m5_2_phase2_diagnostic.md (draft 2),A7.1,NOT RECOMPUTED IN PHASE 3,N/A,,Phase 2 draft 2 computation. Not recomputed in Phase 3. Phase 4 candidate. Labeled [Class R REFERENCE].
Concordance: Oracle agreement B0 overall,12.1%,ml/evaluation/m5_2_phase2_diagnostic.md (draft 2),A7.1,NOT RECOMPUTED IN PHASE 3,N/A,,Phase 2 draft 2 computation. Not recomputed in Phase 3. Phase 4 candidate. Labeled [Class R REFERENCE].
Concordance: Oracle agreement M4 top decile,44.4%,ml/evaluation/m5_2_phase2_diagnostic.md (draft 2),A7.1,NOT RECOMPUTED IN PHASE 3,N/A,,Phase 2 draft 2 computation. Not recomputed in Phase 3. Phase 4 candidate. Labeled [Class R REFERENCE].
Concordance: Oracle agreement B0 top decile,8.3%,ml/evaluation/m5_2_phase2_diagnostic.md (draft 2),A7.1,NOT RECOMPUTED IN PHASE 3,N/A,,Phase 2 draft 2 computation. Not recomputed in Phase 3. Phase 4 candidate. Labeled [Class R REFERENCE].
